Card ID,Flashcard
1,"In Python, everything is an object - even numbers and functions!"
2,"Indentation defines structure in Python - forget braces, spacing matters."
3,Variables don't need types declared - Python figures them out automatically.
4,Strings can use single or double quotes - consistency matters more than choice.
5,Use '#' to add a comment - it's ignored by Python but loved by humans.
6,"Python reads top to bottom, so order your logic carefully."
7,Use print() to display results - your first debugging tool.
8,Triple quotes let you write multi-line strings easily.
9,input() always gives you a string - even if you type a number.
10,Use type() to check what kind of object you're working with.
11,Lists are ordered and mutable - you can edit them anytime.
12,"Tuples are like lists, but locked - once made, they can't change."
13,Sets automatically remove duplicates - great for unique collections.
14,Dictionaries store data in key-value pairs - like labeled boxes.
15,len() tells you how many items are inside a container.
16,Lists can hold anything - even other lists or functions!
17,Negative indexes count from the end - -1 is the last item.
18,Slicing lets you grab parts of sequences - [start:end:step] is the syntax.
19,"Strings are immutable - you can replace them, not modify them."
20,Use sorted() to get a new sorted list - or sort() to change it in place.
21,Functions are created with def - short for define.
22,A function that doesn't return anything actually returns None.
23,Default arguments are evaluated once - not every call.
24,Use keyword arguments for clarity when calling functions.
25,Lambda functions are tiny throwaway functions - perfect for one-liners.
26,Functions are objects too - you can pass them around like data.
27,Use *args for variable arguments and **kwargs for named arguments.
28,Docstrings describe what your function does - use triple quotes right under def.
29,"Recursion is a function calling itself - cool, but watch your base case!"
30,return ends a function immediately and gives back a value.
31,for loops can go through any iterable - from lists to strings.
32,while loops run until their condition becomes False.
33,"break stops a loop cold, while continue skips to the next round."
34,Use pass as a placeholder - it literally does nothing but keeps your code valid.
35,"if, elif, else decide what runs based on truthiness."
36,Booleans in Python are capitalized - True and False.
37,"None is falsy - just like 0, '', and empty collections."
38,"Use 'in' to check membership - it works for lists, strings, and sets."
39,Chained comparisons like 1 < x < 10 make your code clean and readable.
40,Use ternary expressions like 'a if cond else b' to make compact decisions.
41,Classes group data and behavior - they're blueprints for objects.
42,__init__ sets up new objects - it's the constructor method.
43,self refers to the instance - it's how methods access data.
44,"Class variables belong to the class, not each instance."
45,Inheritance lets a class reuse code from another class.
46,super() calls methods from the parent class - super useful!
47,Private attributes are just a naming convention - nothing truly private here.
48,Polymorphism means different objects can share method names and still work.
49,Magic methods like __str__ and __add__ let you customize built-in behavior.
50,Everything in Python OOP is built on top of object - the ultimate base class.
51,List comprehensions are compact loops that build lists on the fly.
52,Dict comprehensions let you create mappings in one neat line.
53,Generators use yield to return items lazily - one by one.
54,Iterators remember where they left off - that's why you can only loop once.
55,Decorators wrap functions to extend behavior - like adding extra powers.
56,Closures remember variables even after their function has finished.
57,with automatically cleans up resources - think of it as polite programming.
58,try and except help your code recover from errors instead of crashing.
59,finally always runs - no matter what happens in try/except.
60,Modules are Python files you can reuse - import keeps code DRY.
61,Everything is passed by object reference - Python doesn't copy by default.
62,The GIL allows only one thread to run Python code at a time.
63,Multiprocessing lets you sidestep the GIL using multiple processes.
64,Asyncio helps run many tasks concurrently using async and await.
65,Await can only be used inside async functions - never in normal ones.
66,Descriptors control attribute access at a deep level - used in properties.
67,Type hints improve readability and help static checkers - Python won't enforce them.
68,"Metaclasses are classes of classes - yes, Python can go that deep."
69,F-strings are the modern way to format text - clean and efficient.
70,contextlib helps you build your own context managers with yield.
71,Lists are ordered and mutable - you can edit them anytime.
72,The GIL allows only one thread to run Python code at a time.
73,Default arguments are evaluated once - not every call.
74,"Metaclasses are classes of classes - yes, Python can go that deep."
75,"In Python, everything is an object - even numbers and functions!"
76,Polymorphism means different objects can share method names and still work.
77,Magic methods like __str__ and __add__ let you customize built-in behavior.
78,Default arguments are evaluated once - not every call.
79,return ends a function immediately and gives back a value.
80,input() always gives you a string - even if you type a number.
81,Magic methods like __str__ and __add__ let you customize built-in behavior.
82,Dict comprehensions let you create mappings in one neat line.
83,Sets automatically remove duplicates - great for unique collections.
84,"Python reads top to bottom, so order your logic carefully."
85,Lists can hold anything - even other lists or functions!
86,Docstrings describe what your function does - use triple quotes right under def.
87,Magic methods like __str__ and __add__ let you customize built-in behavior.
88,Sets automatically remove duplicates - great for unique collections.
89,Generators use yield to return items lazily - one by one.
90,Use print() to display results - your first debugging tool.
91,return ends a function immediately and gives back a value.
92,Strings can use single or double quotes - consistency matters more than choice.
93,Lists are ordered and mutable - you can edit them anytime.
94,Descriptors control attribute access at a deep level - used in properties.
95,input() always gives you a string - even if you type a number.
96,Lambda functions are tiny throwaway functions - perfect for one-liners.
97,Lambda functions are tiny throwaway functions - perfect for one-liners.
98,Strings can use single or double quotes - consistency matters more than choice.
99,return ends a function immediately and gives back a value.
100,return ends a function immediately and gives back a value.
101,Dict comprehensions let you create mappings in one neat line.
102,List comprehensions are compact loops that build lists on the fly.
103,finally always runs - no matter what happens in try/except.
104,super() calls methods from the parent class - super useful!
105,Type hints improve readability and help static checkers - Python won't enforce them.
106,Strings can use single or double quotes - consistency matters more than choice.
107,Magic methods like __str__ and __add__ let you customize built-in behavior.
108,len() tells you how many items are inside a container.
109,contextlib helps you build your own context managers with yield.
110,Functions are objects too - you can pass them around like data.
111,Use *args for variable arguments and **kwargs for named arguments.
112,Lists can hold anything - even other lists or functions!
113,while loops run until their condition becomes False.
114,Default arguments are evaluated once - not every call.
115,Use '#' to add a comment - it's ignored by Python but loved by humans.
116,len() tells you how many items are inside a container.
117,Dict comprehensions let you create mappings in one neat line.
118,Slicing lets you grab parts of sequences - [start:end:step] is the syntax.
119,Lists are ordered and mutable - you can edit them anytime.
120,Polymorphism means different objects can share method names and still work.
121,"Tuples are like lists, but locked - once made, they can't change."
122,Polymorphism means different objects can share method names and still work.
123,finally always runs - no matter what happens in try/except.
124,Strings can use single or double quotes - consistency matters more than choice.
125,Booleans in Python are capitalized - True and False.
126,with automatically cleans up resources - think of it as polite programming.
127,Type hints improve readability and help static checkers - Python won't enforce them.
128,"Tuples are like lists, but locked - once made, they can't change."
129,super() calls methods from the parent class - super useful!
130,Sets automatically remove duplicates - great for unique collections.
131,Use '#' to add a comment - it's ignored by Python but loved by humans.
132,Dict comprehensions let you create mappings in one neat line.
133,finally always runs - no matter what happens in try/except.
134,"Strings are immutable - you can replace them, not modify them."
135,Use *args for variable arguments and **kwargs for named arguments.
136,Triple quotes let you write multi-line strings easily.
137,Lists can hold anything - even other lists or functions!
138,Multiprocessing lets you sidestep the GIL using multiple processes.
139,Generators use yield to return items lazily - one by one.
140,finally always runs - no matter what happens in try/except.
141,finally always runs - no matter what happens in try/except.
142,Triple quotes let you write multi-line strings easily.
143,input() always gives you a string - even if you type a number.
144,__init__ sets up new objects - it's the constructor method.
145,The GIL allows only one thread to run Python code at a time.
146,Lists can hold anything - even other lists or functions!
147,Polymorphism means different objects can share method names and still work.
148,Lists are ordered and mutable - you can edit them anytime.
149,Use sorted() to get a new sorted list - or sort() to change it in place.
150,input() always gives you a string - even if you type a number.
151,"Use 'in' to check membership - it works for lists, strings, and sets."
152,Lists are ordered and mutable - you can edit them anytime.
153,finally always runs - no matter what happens in try/except.
154,Lists are ordered and mutable - you can edit them anytime.
155,The GIL allows only one thread to run Python code at a time.
156,"Use 'in' to check membership - it works for lists, strings, and sets."
157,"In Python, everything is an object - even numbers and functions!"
158,Use print() to display results - your first debugging tool.
159,finally always runs - no matter what happens in try/except.
160,"Use 'in' to check membership - it works for lists, strings, and sets."
161,Generators use yield to return items lazily - one by one.
162,Triple quotes let you write multi-line strings easily.
163,Polymorphism means different objects can share method names and still work.
