Question ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1,What is 'python'[1:4]?,tho,yth,ytho,pyt,yth,Slicing from index 1 up to 4 takes the middle chunk yth.
2,What is the output of print(0 * -1)?,1,-1,0,Error,0,"Multiplication of 0 and -1 gives 0, so 0 is right."
3,"What is {1,2} | {2,3}?","{2,3}","{1,2}","{1, 2, 3}",{2},"{1, 2, 3}",Set union combines unique elements from both sets.
4,What is the output of print(-4 * -7)?,29,3,28,Error,28,"Multiplication of -4 and -7 gives 28, so 28 is right."
5,What is 'mississippi'.count('ss')?,2,4,0,1,2,2 is correct because it matches how this feature behaves in Python.
6,What is the output of print(3 * 6)?,Error,18,9,-3,18,"Multiplication of 3 and 6 gives 18, so 18 is right."
7,What is the output of print(-7 * 7)?,-49,-14,-50,-48,-49,"Multiplication of -7 and 7 gives -49, so -49 is right."
8,What is the output of print(-3 * 7)?,Error,-21,-10,4,-21,"Multiplication of -3 and 7 gives -21, so -21 is right."
9,"What is sorted([3,1,2])?","[1,3,2]","[1, 2, 3]",[],"[3,2,1]","[1, 2, 3]","sorted creates and returns a new sorted list, leaving the original alone."
10,What is the output of print(-5 * -5)?,26,24,-10,25,25,"Multiplication of -5 and -5 gives 25, so 25 is right."
11,What is the output of print(2 * 0)?,-1,2,0,Error,0,"Multiplication of 2 and 0 gives 0, so 0 is right."
12,What is the output of print(3 * -9)?,-28,Error,-27,-26,-27,"Multiplication of 3 and -9 gives -27, so -27 is right."
13,What is the output of print(type([]).__name__)?,object,list,dict,tuple,list,"Lists use square brackets and are mutable ordered collections, so their type is list."
14,What is the output of print(2 * 9)?,18,17,11,19,18,"Multiplication of 2 and 9 gives 18, so 18 is right."
15,What is the output of print(-6 * -8)?,48,2,47,49,48,"Multiplication of -6 and -8 gives 48, so 48 is right."
16,What does {x for x in 'aab'} produce length of?,3,0,1,2,2,"A set comprehension keeps unique letters only, so only a and b remain, making the length 2."
17,What is the output of print(-5 * 4)?,-20,-1,Error,-21,-20,"Multiplication of -5 and 4 gives -20, so -20 is right."
18,What is the output of print(2 * 5)?,Error,7,-3,10,10,"Multiplication of 2 and 5 gives 10, so 10 is right."
19,What is the output of print(9 * -8)?,17,1,-72,-73,-72,"Multiplication of 9 and -8 gives -72, so -72 is right."
20,What is the output of print(9 * -4)?,Error,13,-37,-36,-36,"Multiplication of 9 and -4 gives -36, so -36 is right."
21,What is 'python'[1:4]?,ytho,tho,yth,pyt,yth,Slicing from index 1 up to 4 takes the middle chunk yth.
22,What is the output of print(-4 * 1)?,-4,-5,-3,Error,-4,"Multiplication of -4 and 1 gives -4, so -4 is right."
23,What is the output of print(8 * -3)?,-24,11,-23,-25,-24,"Multiplication of 8 and -3 gives -24, so -24 is right."
24,What is the output of print(2 * -7)?,9,-5,-15,-14,-14,"Multiplication of 2 and -7 gives -14, so -14 is right."
25,Which built-in type is immutable?,list,tuple,dict,set,tuple,"Tuples are immutable, so once created their contents cannot be changed."
26,What is the output of print(-7 * 3)?,Error,-4,-10,-21,-21,"Multiplication of -7 and 3 gives -21, so -21 is right."
27,What is the output of print(7 * -2)?,-14,9,Error,-15,-14,"Multiplication of 7 and -2 gives -14, so -14 is right."
28,What is the output of print(2 * -4)?,-8,Error,6,-2,-8,"Multiplication of 2 and -4 gives -8, so -8 is right."
29,What is [i for i in range(3)][-1]?,FALSE,1,2,0,2,2 is correct because it matches how this feature behaves in Python.
30,What is the output of print(-7 * -4)?,-3,28,Error,27,28,"Multiplication of -7 and -4 gives 28, so 28 is right."
31,What is the output of print(-8 * 6)?,-49,-2,Error,-48,-48,"Multiplication of -8 and 6 gives -48, so -48 is right."
32,What is the output of print(-6 * -2)?,Error,-4,13,12,12,"Multiplication of -6 and -2 gives 12, so 12 is right."
33,What is ''.strip()?,'' '',None,,' ',,nan is correct because it matches how this feature behaves in Python.
34,What is the output of print(-8 * -7)?,-1,56,-15,Error,56,"Multiplication of -8 and -7 gives 56, so 56 is right."
35,What is the output of print(5 * -3)?,Error,-15,-16,2,-15,"Multiplication of 5 and -3 gives -15, so -15 is right."
36,What is the output of print(-1 * 8)?,Error,-7,7,-8,-8,"Multiplication of -1 and 8 gives -8, so -8 is right."
37,What is the output of print(-1 * -1)?,Error,2,1,-2,1,"Multiplication of -1 and -1 gives 1, so 1 is right."
38,What is the output of print(-9 * -2)?,18,-11,19,-7,18,"Multiplication of -9 and -2 gives 18, so 18 is right."
39,What does bool('') return?,0,None,TRUE,FALSE,FALSE,"Empty strings are falsy in Python, so bool of an empty string is False."
40,What is the output of print(-8 * 4)?,-33,-12,-32,-4,-32,"Multiplication of -8 and 4 gives -32, so -32 is right."
41,What is the output of print(0 * 8)?,0,8,-1,1,0,"Multiplication of 0 and 8 gives 0, so 0 is right."
42,What is tuple('ab')?,('ab'),FALSE,"['a','b']","('a', 'b')","('a', 'b')","('a', 'b') is correct because it matches how this feature behaves in Python."
43,What is the output of print(6 * 0)?,Error,6,0,1,0,"Multiplication of 6 and 0 gives 0, so 0 is right."
44,What is the output of print(-4 * 8)?,Error,-12,4,-32,-32,"Multiplication of -4 and 8 gives -32, so -32 is right."
45,What is the output of print(-5 * 5)?,0,-26,-25,-24,-25,"Multiplication of -5 and 5 gives -25, so -25 is right."
46,What is the output of print(-8 * 7)?,-56,Error,-1,-15,-56,"Multiplication of -8 and 7 gives -56, so -56 is right."
47,Which statement ensures cleanup for context managers?,defer,with,context,using,with,"with ensures files are closed even if errors happen, which is why it is used for cleanup."
48,What is the output of print(-9 * -5)?,44,Error,46,45,45,"Multiplication of -9 and -5 gives 45, so 45 is right."
49,What is the output of print(1 * 0)?,-1,0,1,Error,0,"Multiplication of 1 and 0 gives 0, so 0 is right."
50,Which function converts an ASCII code point to character?,ascii,ord,repr,chr,chr,chr turns a code point into the corresponding character; ord does the reverse.
51,What is the output of print(8 * -4)?,-32,-31,12,Error,-32,"Multiplication of 8 and -4 gives -32, so -32 is right."
52,What is 'python'.find('z')?,FALSE,Error,None,-1,-1,-1 is correct because it matches how this feature behaves in Python.
53,Which module provides a LRU cache decorator?,toolz,operator,itertools,functools,functools,functools has handy function utilities like lru_cache for memoization.
54,What is the output of print(-9 * -6)?,-3,53,54,Error,54,"Multiplication of -9 and -6 gives 54, so 54 is right."
55,What is 'python'.find('z')?,None,-1,FALSE,0,-1,-1 is correct because it matches how this feature behaves in Python.
56,What is the output of print(8 * 4)?,4,32,Error,12,32,"Multiplication of 8 and 4 gives 32, so 32 is right."
57,What does bool('') return?,None,TRUE,0,FALSE,FALSE,"Empty strings are falsy in Python, so bool of an empty string is False."
58,Which function returns the absolute value?,FALSE,abs,mag,len,abs,"abs returns the magnitude of a number, dropping any sign."
59,Which built-in converts bytes to str?,str.encode,bytes.decode,format,ord,bytes.decode,bytes.decode is correct because it matches how this feature behaves in Python.
60,What is [i for i in range(3)][-1]?,1,2,3,0,2,2 is correct because it matches how this feature behaves in Python.
61,What is the output of print(6 * -8)?,Error,14,-48,-2,-48,"Multiplication of 6 and -8 gives -48, so -48 is right."
62,What is the output of print(6 * -6)?,-35,-36,-37,12,-36,"Multiplication of 6 and -6 gives -36, so -36 is right."
63,What is the output of print(-9 * 2)?,-18,Error,-17,-7,-18,"Multiplication of -9 and 2 gives -18, so -18 is right."
64,What is the output of print(7 * -5)?,-36,-34,Error,-35,-35,"Multiplication of 7 and -5 gives -35, so -35 is right."
65,What is the output of print(0 * 4)?,4,-4,0,-1,0,"Multiplication of 0 and 4 gives 0, so 0 is right."
66,What is bool([0])?,0,FALSE,TRUE,Error,TRUE,"Non-empty lists are truthy, even if they contain zero; so this is True."
67,What is the output of print(-6 * -8)?,48,47,Error,49,48,"Multiplication of -6 and -8 gives 48, so 48 is right."
68,What is tuple('ab')?,('a';'b'),"('a', 'b')","('a','b','')",('ab'),"('a', 'b')","('a', 'b') is correct because it matches how this feature behaves in Python."
69,What is the correct file extension for Python source files?,.pt,.python,.py,.pyc,.py,.py is correct because it matches how this feature behaves in Python.
70,What is the output of print(1 * 8)?,-7,9,7,8,8,"Multiplication of 1 and 8 gives 8, so 8 is right."
71,What is bool([0])?,FALSE,Error,TRUE,0,TRUE,"Non-empty lists are truthy, even if they contain zero; so this is True."
72,What is the output of print(6 * -5)?,11,-30,-29,Error,-30,"Multiplication of 6 and -5 gives -30, so -30 is right."
73,"What is {'a':1,'b':2} == {'b':2,'a':1}?",0,FALSE,TypeError,TRUE,TRUE,"Dictionaries compare by key and value pairs, not by insertion order, so these are equal."
74,What is the output of print(7 * -4)?,11,-29,-27,-28,-28,"Multiplication of 7 and -4 gives -28, so -28 is right."
75,What is the output of print(-4 * 6)?,-23,-10,-24,2,-24,"Multiplication of -4 and 6 gives -24, so -24 is right."
76,What is the output of print(5 * -4)?,1,-19,-21,-20,-20,"Multiplication of 5 and -4 gives -20, so -20 is right."
77,What is the output of print(1 * -2)?,-2,-3,-1,Error,-2,"Multiplication of 1 and -2 gives -2, so -2 is right."
78,What is the output of print(6 * 2)?,4,Error,13,12,12,"Multiplication of 6 and 2 gives 12, so 12 is right."
79,What is the correct file extension for Python source files?,.pt,.py,.pyc,.pyt,.py,.py is correct because it matches how this feature behaves in Python.
80,What is the output of print(-7 * 4)?,-27,-28,-29,-11,-28,"Multiplication of -7 and 4 gives -28, so -28 is right."
81,Which keyword is used to import a module?,use,import,module,require,import,import is correct because it matches how this feature behaves in Python.
82,"What is list(filter(None,[0,1,2]))?",[2],[],"[1, 2]","[0,1,2]","[1, 2]","[1, 2] is correct because it matches how this feature behaves in Python."
83,What is the output of print(1 * 3)?,3,-2,Error,4,3,"Multiplication of 1 and 3 gives 3, so 3 is right."
84,What is the output of print(4 * 7)?,29,-3,28,Error,28,"Multiplication of 4 and 7 gives 28, so 28 is right."
85,"What is {1,2,3} - {2}?","{1,2,3}","{2,3}","{1, 3}",{2},"{1, 3}",Set difference removes elements from the left set that appear on the right.
86,What is the output of print(-7 * -8)?,1,56,55,57,56,"Multiplication of -7 and -8 gives 56, so 56 is right."
87,What is the output of print(type([]).__name__)?,set,list,object,dict,list,"Lists use square brackets and are mutable ordered collections, so their type is list."
88,Which keyword is used to import a module?,include,require,import,module,import,import is correct because it matches how this feature behaves in Python.
89,What is the output of print(-3 * -7)?,Error,4,22,21,21,"Multiplication of -3 and -7 gives 21, so 21 is right."
90,What is the output of print(9 * 4)?,37,36,35,13,36,"Multiplication of 9 and 4 gives 36, so 36 is right."
91,Which module implements heaps?,queue,heapq,bisect,array,heapq,"heapq implements a min-heap, letting you efficiently get the smallest item."
92,What does len('hello') return?,1,0,6,5,5,"len counts elements in the sequence, so the result matches the number of items shown."
93,What is the output of print(6 * -9)?,-53,-55,-54,Error,-54,"Multiplication of 6 and -9 gives -54, so -54 is right."
94,What is type({}.keys()).__name__?,dict_items,dict_keys,list,view,dict_keys,"Dictionary view objects like dict_keys are special views, not plain lists."
95,What is the output of print(8 * 7)?,1,Error,56,57,56,"Multiplication of 8 and 7 gives 56, so 56 is right."
96,Which built-in checks if all elements are truthy?,len,bool,any,all,all,all is correct because it matches how this feature behaves in Python.
97,What is the output of print(-2 * -5)?,3,-7,9,10,10,"Multiplication of -2 and -5 gives 10, so 10 is right."
98,What is the output of print(4 * 8)?,32,12,33,-4,32,"Multiplication of 4 and 8 gives 32, so 32 is right."
99,What is the output of print('A' < 'a') in ASCII?,TRUE,FALSE,None,Error,TRUE,"This follows Python’s rules for that operation, so this truth value is the expected outcome."
100,What is the output of print(-5 * -3)?,16,-8,-2,15,15,"Multiplication of -5 and -3 gives 15, so 15 is right."
101,"What does round(2.675,2) equal in CPython?",2.7,2.68,2.67,FALSE,2.67,"Binary floating point rounds 2.675 to 2.67 in CPython due to representation, so 2.67 is expected."
102,What is the output of print(5 * -4)?,-19,-20,Error,1,-20,"Multiplication of 5 and -4 gives -20, so -20 is right."
103,What is the output of print(8 * 7)?,57,56,15,Error,56,"Multiplication of 8 and 7 gives 56, so 56 is right."
104,What is the output of print(-2 * -9)?,17,18,19,-11,18,"Multiplication of -2 and -9 gives 18, so 18 is right."
105,What is the result of 2**3?,6,23,16,8,8,The exponent operator ** raises 2 to the power 3 which is 8.
106,What is the output of print(-3 * 2)?,-1,-6,Error,-5,-6,"Multiplication of -3 and 2 gives -6, so -6 is right."
107,What is the output of print(-8 * -9)?,Error,72,73,-17,72,"Multiplication of -8 and -9 gives 72, so 72 is right."
108,Which built-in returns a sequence length?,count,length,len,(),len,len is correct because it matches how this feature behaves in Python.
109,What is the output of print(-7 * 8)?,1,-57,-15,-56,-56,"Multiplication of -7 and 8 gives -56, so -56 is right."
110,Which method removes and returns the last list element?,pop,discard,delete,chop,pop,pop is correct because it matches how this feature behaves in Python.
111,What is the output of print(7 * -3)?,-20,10,-22,-21,-21,"Multiplication of 7 and -3 gives -21, so -21 is right."
112,What is the output of print(7 * -7)?,-50,-48,-49,Error,-49,"Multiplication of 7 and -7 gives -49, so -49 is right."
113,What is the output of print(2 * -5)?,-9,-11,Error,-10,-10,"Multiplication of 2 and -5 gives -10, so -10 is right."
114,What is the output of print(-9 * -4)?,37,Error,36,-13,36,"Multiplication of -9 and -4 gives 36, so 36 is right."
115,What is the output of print(7 * 6)?,41,1,42,Error,42,"Multiplication of 7 and 6 gives 42, so 42 is right."
116,"What is 'a,b,c'.split(',')?","['a', 'b', 'c']","['a','b,c']",['a';'b';'c'],"('a','b','c')","['a', 'b', 'c']","split with a comma cuts the string at commas, returning the pieces in a list."
117,What is the output of print(7 * 3)?,10,21,Error,20,21,"Multiplication of 7 and 3 gives 21, so 21 is right."
118,What is the output of print(7 * 7)?,49,0,48,Error,49,"Multiplication of 7 and 7 gives 49, so 49 is right."
119,What is the output of print(8 * -9)?,-73,-72,Error,-1,-72,"Multiplication of 8 and -9 gives -72, so -72 is right."
