Question ID,Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
1,What is the value of s=pythonista then print(s[0:4]),pyth,yth,None of the above,pytho,pythonista,pyth,pyth is correct based on how this feature behaves in Python.
2,What does list({1: a  2: b}) evaluate to,[1  2],[(1 a) (2 b)],[2 1],[1 2],None of the above,[1  2],[1  2] is correct based on how this feature behaves in Python.
3,What does functools.lru_cache do,Stores results only for keyword arguments,Caches function results keyed by arguments to avoid recomputation,Validates argument types at runtime,Converts a function into a generator,Parallelizes the function across threads,Caches function results keyed by arguments to avoid recomputation,lru_cache remembers results for argument combinations so repeats are instant.
4,What is the value of s=pythonista then print(s[2:5]),None of the above,pytho,thonista,ho,tho,tho,tho is correct based on how this feature behaves in Python.
5,What is the output of print({1 2 3} < {1 2 3 4}),[],FALSE,Error,None of the above,TRUE,TRUE,True is correct based on how this feature behaves in Python.
6,What is the value of s=pythonista then print(s[0:5]),pytho,ytho,pythonista,None of the above,python,pytho,pytho is correct based on how this feature behaves in Python.
7,What is the output of print(sum(i*i for i in range(7))),None of the above,21,91,49,36,91,91 is correct based on how this feature behaves in Python.
8,What is output of print({}.setdefault(x [])),KeyError,[x],None,None of the above,[],[],[] is correct based on how this feature behaves in Python.
9,What does itertools.groupby require to group equal keys correctly,The key function must return unique values,The input must be a list not an iterator,The input must be pre sorted by the same key function,The keys must be strings,The values must be numbers,The input must be pre sorted by the same key function,groupby only groups adjacent equal keys so you must sort first.
10,Which statement about decorators is accurate,A decorator always speeds up function execution,A decorator changes the function name at runtime in CPython,A decorator can only be applied to async functions,A decorator must be a class not a function,A decorator wraps a function to modify behavior without changing the function code,A decorator wraps a function to modify behavior without changing the function code,A decorator takes a function and returns a new callable that adds behavior around it.
11,What is the value of s=pythonista then print(s[3:6]),hon,honista,None of the above,on,honi,hon,hon is correct based on how this feature behaves in Python.
12,What is the output of print(sum(i*i for i in range(6))),36,None of the above,25,Error,55,55,55 is correct based on how this feature behaves in Python.
13,What is the value of s=pythonista then print(s[0:5]),ytho,pytho,python,pythonista,None of the above,pytho,pytho is correct based on how this feature behaves in Python.
14,What is the output of print(sum(i*i for i in range(5))),14,55,10,25,30,30,Squares 0 1 4 9 16 add up to 30.
15,What is the output of print({i:i*i for i in range(3)}[2]),4,2,0,None of the above,3,4,Comprehension maps 2 to 4 so indexing by 2 returns 4.
16,What is the output of print(sum(i*i for i in range(7))),Error,91,36,None of the above,49,91,91 is correct based on how this feature behaves in Python.
17,What is the value of s=pythonista then print(s[0:2]),pythonista,pyt,py,y,None of the above,py,py is correct based on how this feature behaves in Python.
18,What is the result of print(dict.fromkeys(aba 0)),{a: 0},{a:0 b:0 c:0},{a: 0  b: 0},{a:0 b:0 a:0},None of the above,{a: 0  b: 0},{a: 0  b: 0} is correct based on how this feature behaves in Python.
19,What is the output of print(sum(i*i for i in range(4))),Error,None of the above,9,6,14,14,14 is correct based on how this feature behaves in Python.
20,What is the output of print(sum(i*i for i in range(7))),91,21,Error,36,None of the above,91,91 is correct based on how this feature behaves in Python.
21,What is the value of s=pythonista then print(s[0:5]),python,ytho,pythonista,pytho,None of the above,pytho,pytho is correct based on how this feature behaves in Python.
22,What does print((1 2) < (1 3)) produce,None of the above,None,TRUE,0,Error,TRUE,True is correct based on how this feature behaves in Python.
23,What is the output of print(sum(i*i for i in range(3))),Error,9,4,5,3,5,5 is correct based on how this feature behaves in Python.
24,What is the output of print(sum(i*i for i in range(5))),10,None of the above,16,Error,30,30,Squares 0 1 4 9 16 add up to 30.
25,What is the output of print(sum(i*i for i in range(7))),49,21,91,36,Error,91,91 is correct based on how this feature behaves in Python.
26,What is the output of print(sum(i*i for i in range(7))),Error,91,36,49,None of the above,91,91 is correct based on how this feature behaves in Python.
27,What is the value of len(set(mississippi)),3,5,4,None of the above,8,4,4 is correct based on how this feature behaves in Python.
28,What does print((1 2) < (1 3)) produce,0,None of the above,FALSE,TRUE,None,TRUE,True is correct based on how this feature behaves in Python.
29,What is the value of s=pythonista then print(s[2:5]),tho,pytho,None of the above,thon,ho,tho,tho is correct based on how this feature behaves in Python.
30,What is the output of print(sum(i*i for i in range(5))),None of the above,Error,30,10,16,30,Squares 0 1 4 9 16 add up to 30.
31,What is output of print(a * 0 or b),None of the above,a,0,,b,b,b is correct based on how this feature behaves in Python.
